"member_id","name","last_name","father_name","dob","mobile","secondary_mobile","office_phone","email","permanent_address","current_potal_address","village_city_name","district","state","address_pincode","reference","gender","subscriber_type","marital_status","spouse_name","annivarsary_date","no_of_kids","no_of_depends","no_of_nominee","nominee_name","nominee_relationship","nominee_d_o_b","percentage_of_nomination","nominee_gaurdian_name","pan_number","income_type","company_name","company_type","designation","work_address","salary","other_income","experience","for_self_employed","for_professional_service","office_address","employee_no","gst_no","annual_turnover","income_source","monthly_income","nature_of_business","business_start_date","car_category","two_wheeler_category","house_category","identity_category","address_category","is_added_by_agent","agent_id","agent_comission","adhaar_number","status","incorporation_certificate","member_profile","docs","unallocated_amount","added_date","update_date"
"1","pulkit sir","sdm,gnbf gf","doogarmal jangid","2022-01-21","09079758684","09079758684","09079758684","simran@gmail.com","Arya samaj mandir road soor sagar","22 621",,,,,,,,,,,,,,,,,,,"125457855665866",,,,,,,,,,"Advocate",,,,,,,,,,,"Own","aadhar_card",,"0",,,,"Active",NULL,,"null","0","2022-03-07 12:43:57","2022-01-31 12:10:08"
"2","Ravindra Singh",,"A Mangal","12/08/1998","7014854697","9764589480","9764254680","puki@gmail.com","Gangapur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advocate",,,,,,,,,,,,,,"1","1",,,"Active",NULL,,"null","0","2022-01-20 11:34:56","2022-02-03 04:18:19"
"5","aniket mahent ",,"kapil ","2016-12-26","09079758684","09079758684","09079758684","admin@gmail.com","Arya samaj mandir road soor sagar","22 621",,,,,,,,"Single",,,,,"3","LAL","hgh","2022-01-21","20","25","23523113311655569","Salaried","premad",,"dsmnanm","jaipur","50","2000","25",,"Advocate",,,,,,,,,,,,"passport",,"1","1","5","59565956565898989","Active",NULL,,"null","0","2022-01-20 11:37:09",NULL
"6","ashish",,"kapil ","2016-12-26","09079758684","09079758684","09079758684","admin@gmail.com","Arya samaj mandir road soor sagar","22 621",,,,,,,,"Single",,,,,"3","LAL","hgh","2022-01-21","20","25","23523113311655569","Salaried","premad",,"dsmnanm","jaipur","50","2000","25",,"Advocate",,,,,,,,,,,,"passport",,"1","1","5","59565956565898989","Active",NULL,,"null","0","2022-01-20 11:37:09",NULL
"7","Ahsan",,"Ahsan","12/08/1998","9876543210","9876543210","1243451467","a@gmail.com","chandpole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advocate",,,,,,,,,,,,,,"1","1",,,"Active",NULL,,"null","0","2022-01-20 11:39:41",NULL
"8","vishal",,"Ahsan","12/08/1998","9876543210","9876543210","1243451467","a@gmail.com","chandpole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advocate",,,,,,,,,,,,,,"1","1",,,"Active",NULL,,"null","0","2022-01-20 11:39:41",NULL
"11","sharuk",,"kapil ","2016-12-26","09079758684","09079758684","09079758684","admin@gmail.com","Arya samaj mandir road soor sagar","22 621",,,,,,,,"Single",,,,,"3","LAL","hgh","2022-01-21","20","25","23523113311655569","Salaried","premad",,"dsmnanm","jaipur","50","2000","25",,"Advocate",,,,,,,,,,,,"passport",,"1","1","5","59565956565898989","Active",NULL,,"null","0","2022-01-20 11:37:09","2022-02-03 03:40:54"
"12","akshay",,"kapil ","2016-12-26","09079758684","09079758684","09079758684","admin@gmail.com","Arya samaj mandir road soor sagar","22 621",,,,,,,,"Single",,,,,"3","LAL","hgh","2022-01-21","20","25","23523113311655569","Salaried","premad",,"dsmnanm","jaipur","50","2000","25",,"Advocate",,,,,,,,,,,,"passport",,"1","1","5","59565956565898989","Active",NULL,,"null","0","2022-01-20 11:37:09",NULL
"13","aditya",,"kapil ","2016-12-26","09079758684","09079758684","09079758684","admin@gmail.com","Arya samaj mandir road soor sagar","22 621",,,,,,,,"Single",,,,,"3","LAL","hgh","2022-01-21","20","25","23523113311655569","Salaried","premad",,"dsmnanm","jaipur","50","2000","25",,"Advocate",,,,,,,,,,,,"passport",,"1","1","5","59565956565898989","Active",NULL,,"null","0","2022-01-20 11:37:09",NULL
"14","Aka Abhinav",,"Shahrukh","12/08/79","9517532580","9876543218","9876542318","aka@gmail.com","pratap nagar ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advocate",,,,,,,,,,,,,,"1","1",,,"Active",NULL,,"null","0","2022-01-20 11:43:15",NULL
"15","dipanshu",,"kapil ","2016-12-26","09079758684","09079758684","09079758684","admin@gmail.com","Arya samaj mandir road soor sagar","22 621",,,,,,,,"Single",,,,,"3","LAL","hgh","2022-01-21","20","25","23523113311655569","Salaried","premad",,"dsmnanm","jaipur","50","2000","25",,"Advocate",,,,,,,,,,,,"passport",,"1","1","5","59565956565898989","Active",NULL,,"null","0","2022-01-20 11:37:09",NULL
"16","Yuvraj",,"Yuv","12/08/98","9950456099","9950456099","9950456099","rsnarukaalwar@gmail.com","Alwar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advocate",,,,,,,,,,,,,,"1","1",,,"Active",NULL,,"null","0","2022-01-20 11:44:19",NULL
"17","shail",,"Yuv","12/08/98","9950456099","9950456099","9950456099","rsnarukaalwar@gmail.com","Alwar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advocate",,,,,,,,,,,,,,"1","1",,,"Active",NULL,,"null","0","2022-01-20 11:44:19",NULL
"18","Sameer",,"Sameer","17/08/98","9876549089","9850756870","1234567894","ts@gmail.com","rs@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advocate",,,,,,,,,,,,,,"1","1",,,"Active",NULL,,"null","0","2022-01-20 11:45:23",NULL
"19","lal bhadur",,"Yuv","12/08/98","9950456099","9950456099","9950456099","rsnarukaalwar@gmail.com","Alwar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advocate",,,,,,,,,,,,,,"1","1",,,"Active",NULL,,"null","0","2022-01-20 11:44:19",NULL
"20","vivek",,"kapil","12/08/98","9950456099","9950456099","9950456099","rsnarukaalwar@gmail.com","Alwar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advocate",,,,,,,,,,,,,,"1","1",,,"Active",NULL,,"null","0","2022-01-20 11:44:19",NULL
"21","Shekhar",,"Shekhar","12/08/98","9568478529","2578956848","8596748598","rsnarukaalwar@gmail.com","Tijara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advocate",,,,,,,,,,,,,,"1","1",,,"Active",NULL,,"null","0","2022-01-20 11:46:16",NULL
"22","himanshu",,"ravindra","12/08/98","9950456099","9950456099","9950456099","rsnarukaalwar@gmail.com","Alwar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advocate",,,,,,,,,,,,,,"1","1",,,"Active",NULL,,"null","0","2022-01-20 11:44:19",NULL
"23","bhaskar",,"ravindra","12/08/98","9950456099","9950456099","9950456099","rsnarukaalwar@gmail.com","Alwar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advocate",,,,,,,,,,,,,,"1","1",,,"Active",NULL,,"null","0","2022-01-20 11:44:19",NULL
"24","pituu",,"ravindra","12/08/98","9950456099","9950456099","9950456099","rsnarukaalwar@gmail.com","Alwar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advocate",,,,,,,,,,,,,,"1","1",,,"Active",NULL,,"null","0","2022-01-20 11:44:19",NULL
